label,num_vert,max_degree,max_indegree,max_values,nodes,method,kind,query_type,filename,target,observed,barren,interval_result,time
vs_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve_ch10,sing,cond,./networks/vmodel/vmodel-sing_n6_mID2_mD6_mV4_nV2-1.uai,0,5,0,0.13064737303952165 0.8119454725032668 0.12416621817581568 0.2335312123467528 0.021001065385807222 0.5055316650853798 0.04288724393511038 0.13761569544495164,373.0
vm_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve_ch10,mult,marg,./networks/vmodel/vmodel-mult_n6_mID2_mD6_mV4_nV2-1.uai,1,,3,0.149069033 0.6483154720000001 0.121995927 0.69827999325 0.10332365900000001 0.390299544,118.0
vm_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve_ch10,mult,cond,./networks/vmodel/vmodel-mult_n6_mID2_mD6_mV4_nV2-1.uai,2,4 1 0,0,,
vs_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve_ch5,sing,marg,./networks/vmodel/vmodel-sing_n6_mID2_mD6_mV4_nV2-1.uai,5,,0,0.09816077409968461 0.5188083043539281 0.14436031925418222 0.5331889269408254 0.10671552034278567 0.44175508201962677 0.06914051348485939 0.1985427185814549,92.0
vs_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve_ch5,sing,cond,./networks/vmodel/vmodel-sing_n6_mID2_mD6_mV4_nV2-1.uai,0,5,0,0.13993254632047988 0.8103563436722419 0.1251909261742671 0.23201040904631168 0.021268064483835218 0.49208318488153485 0.04318466566965585 0.13602241294857131,365.0
vm_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve_ch5,mult,marg,./networks/vmodel/vmodel-mult_n6_mID2_mD6_mV4_nV2-1.uai,1,,3,0.16886603 0.569863672 0.1520106085 0.6977356155 0.11352239149999997 0.36766842375,95.0
vm_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve_ch5,mult,cond,./networks/vmodel/vmodel-mult_n6_mID2_mD6_mV4_nV2-1.uai,2,4 1 0,0,,
vs_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve_ch10,sing,marg,./networks/vmodel/vmodel-sing_n7_mID2_mD6_mV4_nV2-1.uai,6,,0,0.3264229687172246 0.861098127530581 0.13890187246941893 0.6735770312827754,165.0
vs_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve_ch10,sing,cond,./networks/vmodel/vmodel-sing_n7_mID2_mD6_mV4_nV2-1.uai,0,6,0,0.07202925086080167 0.713590279081892 0.286409720918108 0.9279707491391981,293.0
vm_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve_ch10,mult,marg,./networks/vmodel/vmodel-mult_n7_mID2_mD6_mV4_nV2-1.uai,4,,1,0.1309751980311459 0.7087839119042133 0.005769472531524706 0.3129531976623976 0.10409139563208547 0.40778717722992025 0.06396576930168237 0.40862813165201567,577514.0
vm_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve_ch10,mult,cond,./networks/vmodel/vmodel-mult_n7_mID2_mD6_mV4_nV2-1.uai,2,4 1,0,0.0188651091295063 0.6932244165253225 0.13092125968938376 0.2756381176176668 0.09024326582339263 0.7637135422649832 0.016947982296147263 0.2239268307888942,1292.0
vs_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve_ch5,sing,marg,./networks/vmodel/vmodel-sing_n7_mID2_mD6_mV4_nV2-1.uai,6,,0,0.32653506841519303 0.8505893283664229 0.14941067163357702 0.6734649315848072,124.0
vs_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve_ch5,sing,cond,./networks/vmodel/vmodel-sing_n7_mID2_mD6_mV4_nV2-1.uai,0,6,0,0.07297349109787492 0.7130873955347181 0.2869126044652819 0.9270265089021251,198.0
vm_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve_ch5,mult,marg,./networks/vmodel/vmodel-mult_n7_mID2_mD6_mV4_nV2-1.uai,4,,1,0.2084335080080507 0.562457688533926 0.04405126410123134 0.2604043301572952 0.15975821723386896 0.2978814864702076 0.11998304592307124 0.36365432524897384,3362.0
vm_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve_ch5,mult,cond,./networks/vmodel/vmodel-mult_n7_mID2_mD6_mV4_nV2-1.uai,2,4 1,0,0.020439491494388645 0.6656993801632646 0.14667188761852834 0.22291846238372223 0.10125303479211478 0.7338941814430247 0.021095762489556164 0.17191075647010917,1258.0
vs_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve_ch10,sing,marg,./networks/vmodel/vmodel-sing_n8_mID2_mD6_mV4_nV2-1.uai,7,,0,0.042687275335435385 0.43820113459478555 0.10527666992601259 0.6381432279418835 0.075544763328854 0.4500974818488406 0.024027880294707482 0.2669831167611448,202.0
vs_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve_ch10,sing,cond,./networks/vmodel/vmodel-sing_n8_mID2_mD6_mV4_nV2-1.uai,0,7,0,0.20888286254448687 0.45131265264795783 0.1142832727161132 0.4681422802203961 0.08082897400302257 0.6758210648596946,373.0
vm_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve_ch10,mult,marg,./networks/vmodel/vmodel-mult_n8_mID2_mD6_mV4_nV2-1.uai,2,,4,0.334189219961 0.706729065937 0.29327093406300003 0.665810780039,135.0
vm_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve_ch10,mult,cond,./networks/vmodel/vmodel-mult_n8_mID2_mD6_mV4_nV2-1.uai,1,5 4 2,0,,
vs_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve_ch5,sing,marg,./networks/vmodel/vmodel-sing_n8_mID2_mD6_mV4_nV2-1.uai,7,,0,0.04405049698030625 0.39844964086930934 0.23774410114069175 0.6411325788625829 0.11115993763729966 0.4489466245166426 0.024122298139337018 0.2447236024572528,122.0
